# equilibrium	function	value  -- ElectromagneticFields 0.8, SymEngine
ABC	A²	1.3570081004945758
ABC	A³	1.3570081004945758
ABC	A¹	1.3570081004945758
ABC	A₁	1.3570081004945758
ABC	A₂	1.3570081004945758
ABC	A₃	1.3570081004945758
ABC	B	2.3504069763391384
ABC	B²	1.3570081004945758
ABC	B³	1.3570081004945758
ABC	B¹	1.3570081004945758
ABC	B₁	1.3570081004945758
ABC	B₁₁	0
ABC	B₁₂	0.67850405024728788
ABC	B₁₃	-0.67850405024728788
ABC	B₂	1.3570081004945758
ABC	B₂₁	-0.67850405024728788
ABC	B₂₂	0
ABC	B₂₃	0.67850405024728788
ABC	B₃	1.3570081004945758
ABC	B₃₁	0.67850405024728788
ABC	B₃₂	-0.67850405024728788
ABC	B₃₃	0
ABC	B₍₁₎	1.3570081004945758
ABC	B₍₂₎	1.3570081004945758
ABC	B₍₃₎	1.3570081004945758
ABC	DF̄₁₁	1
ABC	DF̄₁₂	0
ABC	DF̄₁₃	0
ABC	DF̄₂₁	0
ABC	DF̄₂₂	1
ABC	DF̄₂₃	0
ABC	DF̄₃₁	0
ABC	DF̄₃₂	0
ABC	DF̄₃₃	1
ABC	DF₁₁	1
ABC	DF₁₂	0
ABC	DF₁₃	0
ABC	DF₂₁	0
ABC	DF₂₂	1
ABC	DF₂₃	0
ABC	DF₃₁	0
ABC	DF₃₂	0
ABC	DF₃₃	1
ABC	E²	0
ABC	E³	0
ABC	E¹	0
ABC	E₁	0
ABC	E₂	0
ABC	E₃	0
ABC	J	1
ABC	X	0.5
ABC	Y	0.5
ABC	Z	0.5
ABC	a²	-0.70710678118654746
ABC	a³	0.70710678118654746
ABC	a¹	0
ABC	a₁	0
ABC	a₂	-0.70710678118654746
ABC	a₃	0.70710678118654746
ABC	a₍₁₎	0
ABC	a₍₂₎	-0.70710678118654746
ABC	a₍₃₎	0.70710678118654746
ABC	b²	0.57735026918962573
ABC	b³	0.57735026918962573
ABC	b¹	0.57735026918962573
ABC	b₁	0.57735026918962573
ABC	b₂	0.57735026918962573
ABC	b₃	0.57735026918962573
ABC	b₍₁₎	0.57735026918962573
ABC	b₍₂₎	0.57735026918962573
ABC	b₍₃₎	0.57735026918962573
ABC	c²	-0.40824829046386302
ABC	c³	-0.40824829046386302
ABC	c¹	0.81649658092772603
ABC	c₁	0.81649658092772603
ABC	c₂	-0.40824829046386302
ABC	c₃	-0.40824829046386302
ABC	c₍₁₎	0.81649658092772603
ABC	c₍₂₎	-0.40824829046386302
ABC	c₍₃₎	-0.40824829046386302
ABC	dA₁dx₁	0
ABC	dA₁dx₂	-0.47942553860420301
ABC	dA₁dx₃	0.87758256189037276
ABC	dA₂dx₁	0.87758256189037276
ABC	dA₂dx₂	0
ABC	dA₂dx₃	-0.47942553860420301
ABC	dA₃dx₁	-0.47942553860420301
ABC	dA₃dx₂	0.87758256189037276
ABC	dA₃dx₃	0
ABC	dBdx₁	0.22987606457401025
ABC	dBdx₂	0.22987606457401025
ABC	dBdx₃	0.22987606457401025
ABC	dB₁dx₁	0
ABC	dB₁dx₂	-0.47942553860420301
ABC	dB₁dx₃	0.87758256189037276
ABC	dB₂dx₁	0.87758256189037276
ABC	dB₂dx₂	0
ABC	dB₂dx₃	-0.47942553860420301
ABC	dB₃dx₁	-0.47942553860420301
ABC	dB₃dx₂	0.87758256189037276
ABC	dB₃dx₃	0
ABC	dE₁dx₁	0
ABC	dE₁dx₂	0
ABC	dE₁dx₃	0
ABC	dE₂dx₁	0
ABC	dE₂dx₂	0
ABC	dE₂dx₃	0
ABC	dE₃dx₁	0
ABC	dE₃dx₂	0
ABC	dE₃dx₃	0
ABC	db₁dx₁	-0.056466394585320816
ABC	db₁dx₂	-0.26044193730215248
ABC	db₁dx₃	0.3169083318874733
ABC	db₂dx₁	0.3169083318874733
ABC	db₂dx₂	-0.056466394585320816
ABC	db₂dx₃	-0.26044193730215248
ABC	db₃dx₁	-0.26044193730215248
ABC	db₃dx₂	0.3169083318874733
ABC	db₃dx₃	-0.056466394585320816
ABC	db₍₁₎dx₁	-0.056466394585320816
ABC	db₍₁₎dx₂	-0.26044193730215248
ABC	db₍₁₎dx₃	0.3169083318874733
ABC	db₍₂₎dx₁	0.3169083318874733
ABC	db₍₂₎dx₂	-0.056466394585320816
ABC	db₍₂₎dx₃	-0.26044193730215248
ABC	db₍₃₎dx₁	-0.26044193730215248
ABC	db₍₃₎dx₂	0.3169083318874733
ABC	db₍₃₎dx₃	-0.056466394585320816
ABC	dg²²dx₁	0
ABC	dg²²dx₂	0
ABC	dg²²dx₃	0
ABC	dg²³dx₁	0
ABC	dg²³dx₂	0
ABC	dg²³dx₃	0
ABC	dg²¹dx₁	0
ABC	dg²¹dx₂	0
ABC	dg²¹dx₃	0
ABC	dg³²dx₁	0
ABC	dg³²dx₂	0
ABC	dg³²dx₃	0
ABC	dg³³dx₁	0
ABC	dg³³dx₂	0
ABC	dg³³dx₃	0
